iter	Logloss
217	0.3657160958
218	0.3655019371
219	0.3653553438
220	0.365208407
221	0.3650727243
222	0.3648112331
223	0.3646210508
224	0.364431068
225	0.364311848
226	0.3641500486
227	0.3640262247
228	0.3638770737
229	0.363738942
230	0.3635835567
231	0.3634267463
232	0.3632828586
233	0.3631012806
234	0.3628687969
235	0.3626708641
236	0.3624881523
237	0.3623657139
238	0.3621642289
239	0.3618964727
240	0.3617499083
241	0.3614711657
242	0.3612815124
243	0.3611064434
244	0.3609182283
245	0.3607739551
246	0.3605933143
247	0.3604251398
248	0.3603328064
249	0.3601818435
250	0.3600546177
251	0.3598846761
252	0.3597111837
253	0.3595726198
254	0.359404314
255	0.3592499789
256	0.359110955
257	0.3589859849
258	0.3588591646
259	0.3586918627
260	0.3585306251
261	0.3583737402
262	0.3582282306
263	0.3580813087
264	0.3579568277
265	0.357792586
266	0.3576077861
267	0.3575013409
268	0.357382412
269	0.3572776862
270	0.3571382156
271	0.3569997523
272	0.3568396572
273	0.3567169918
274	0.3565305322
275	0.3563557969
276	0.356178202
277	0.3560048765
278	0.3558363236
279	0.3557173323
280	0.3555394283
281	0.355373315
282	0.3552655019
283	0.3550996473
284	0.3548814826
285	0.3547036844
286	0.3545566672
287	0.3544203054
288	0.3542935766
289	0.3541505015
290	0.3539382384
291	0.3537824146
292	0.3536288461
293	0.353506639
294	0.3532758225
295	0.3531265208
296	0.353020422
297	0.3528479341
298	0.3527300379
299	0.3525272271
300	0.3523693
301	0.3522407925
302	0.3520769785
303	0.3519507319
304	0.3518075156
305	0.3516879058
306	0.3515478046
307	0.3514166596
308	0.3512569018
309	0.3511244145
310	0.3509967867
311	0.3508261849
312	0.3506590716
313	0.3505027387
314	0.3503715884
315	0.3502553516
316	0.3501360691
317	0.350012629
318	0.3499038809
319	0.349758152
320	0.3496325766
321	0.349509119
322	0.3492024796
323	0.3490499601
324	0.3489022325
325	0.3488334826
326	0.3487209034
327	0.3486059896
328	0.348473694
329	0.3483740449
330	0.3482535532
331	0.3481235056
332	0.3479135337
333	0.3477881133
334	0.3476811935
335	0.3475597197
336	0.3474485543
337	0.3473457621
338	0.3472351666
339	0.3470641866
340	0.3469432024
341	0.3468170655
342	0.3466630256
343	0.346524305
344	0.3464260785
345	0.346282261
346	0.3461511924
347	0.3460673741
348	0.3458972921
349	0.3458132832
350	0.3456956874
351	0.3455640468
352	0.3454598326
353	0.3453769009
354	0.3452581144
355	0.3451215154
356	0.3450296058
357	0.3449493005
358	0.3448781038
359	0.3447504696
360	0.3446468476
361	0.3445144545
362	0.3443888184
363	0.3442676954
364	0.344181888
365	0.3440674067
366	0.3439298443
367	0.3438287249
368	0.3437176161
369	0.3436057496
370	0.3434988891
371	0.3433857234
372	0.343210635
373	0.3430865542
374	0.3429926461
375	0.3428433568
376	0.342742918
377	0.342618664
378	0.3425351548
379	0.3424154006
380	0.342345881
381	0.3421866408
382	0.3420745019
383	0.3419493101
384	0.3418689049
385	0.3417781753
386	0.3416877887
387	0.3415767
388	0.3414839904
389	0.3413862836
390	0.341319966
391	0.3412321734
392	0.3410713158
393	0.3409987225
394	0.3408929462
395	0.3407978696
396	0.3406755967
397	0.3405940508
398	0.3404727321
399	0.3403453119
400	0.3402067489
401	0.3401108749
402	0.3399968952
403	0.3398876754
404	0.3398115145
405	0.3397036658
406	0.3396345299
407	0.3395155634
408	0.3393803287
409	0.3392681961
410	0.339182707
411	0.3390037336
412	0.3388726924
413	0.3387662053
414	0.338670988
415	0.3385728084
416	0.3384615372
417	0.3383541695
418	0.3382677942
419	0.3381433759
420	0.3380234596
421	0.3379503072
422	0.3378406094
423	0.3377718891
424	0.3376858739
425	0.3375376629
426	0.3374344045
427	0.3373553688
428	0.337287495
429	0.337173071
430	0.337077714
431	0.3370250106
432	0.336915701
433	0.3368277612
434	0.3367474718
435	0.3366311055
436	0.336566601
437	0.3364950966
438	0.3363764568
439	0.3363116286
440	0.3361833052
441	0.3361321142
442	0.3359820334
443	0.3358547726
444	0.3357676445
445	0.3356444586
446	0.3354843643
447	0.335386958
448	0.3352742221
449	0.3351869456
450	0.3350923876
451	0.3349782774
452	0.3348148435
453	0.3346542186
454	0.3345276254
455	0.3344049815
456	0.3342769898
457	0.3341394946
458	0.3340199532
459	0.3339213234
460	0.3338495144
461	0.3337424396
462	0.3336139973
463	0.333510445
464	0.3334149969
465	0.3333138904
466	0.3332243061
467	0.3331614258
468	0.3330625638
469	0.3329618639
470	0.3328906275
471	0.3328298608
472	0.3327277981
473	0.332629352
474	0.3325428847
475	0.3324428591
476	0.3323024651
477	0.3321644913
478	0.3320316394
479	0.3319527628
480	0.3318809414
481	0.331784904
482	0.3317200799
483	0.3315997538
484	0.3315314246
485	0.3314296887
486	0.331306661
487	0.331221541
488	0.3311559212
489	0.3310981302
490	0.331044338
491	0.3309758331
492	0.3308862122
493	0.3308012062
494	0.3306903884
495	0.3306105037
496	0.3305522753
497	0.3304808824
498	0.3303887736
499	0.3302650577
